Item,Available Inv. ,On Hand,Transit,Domestic Sales Orders,Domestic Purchase Orders,Domestic Forecasts,Available - split ,Split,Master Pack Quantity
2194,0,624,624,,1560,1582.53,0,0,
4123,-518,3483,,4001,125010,319021.9363,-1234,716,6
5073,10028,25057,,29,25000,101899.1759,10009,19,6
5114,7367,12408,5024,17,28096,50276.0817,7007,360,4
5225,14612,21628,9600,16,35400,78277.932,14552,60,4
5229,7840,20197,10000,2357,45000,89081.4242,7355,485,4
5280,2524,7526,5000,2,20000,30461.1462,2354,170,4
5331,8501,8507,,6,30018,52607.0138,8483,18,6
5397,10616,10667,,51,15002,25256.9047,10576,40,6
5565,96,2598,19448,2,17000,40144,7,89,4
5566,335,5347,10000,12,20000,33897,296,39,4
5610,4446,4450,,4,17000,20538,4407,39,4
5655,1,1,,,25000,69145.5832,1,0,4
5823,7835,12838,8000,3,18000,44893.0723,7781,54,4
5890,739,3453,,2714,33000,1950,668,71,4
5902,-23,1,,24,30006,36427.9594,-23,0,3
